word,count,suggestion,example_index,example_comment
etc,19,et,179,i got a stitch in my side during the first mile couldnt feel my feet it was so cold etc etc
honoured,18,honored,341,i feel honoured that my clients walk through my doors sometimes for the very first time and trust me with their brand new one week old bundles of joy
lol,10,lot,353,i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared
emo,7,ego,622,i cant explain how i truly feel but some words that encapsulate some of my me ness currently ecstatic happy bouncy relieved energised in a mood to dance wanting chocolate wanting to socialise right now smiley and about here i lose words that express but bah so emo
tv,7,to,1460,i feel so uptight about it because i know you hate it and are constantly trying to catch glimpses of the tv in the window and listen to it
haha,5,hah,868,i do occassionally miss wearing regular earrings but i feel like my plugs have just become such a vital part of who i am that probably sounds so silly and youre rolling your eyes at me now haha
pre,5,are,1346,im feeling very grumpy this week but its not just my annual outbreak of ptpt pre te pouhere tension there has surely been a great deal to be grumpy about this week
px,5,ex,1053,i will say that a little piece of me feels agitated when i watch discussions on race and there will i style color font family georgia serif font size px line height
realised,5,realized,2437,when i heard about the treatment of a friend in jail really inhuman i never realised that such things also happen in the netherlands
whos,5,who,596,i want to be recless but im feeling so uptight put your mamma in a headlock baby and do it right whooooos got the crack whooooooooos got the crack whooooo s got the crack whos got the craaaaaaack
youll,5,you'll,1499,i want to tell you what im feeling but i dont know where to start i want to tell you everything but im afraid youll break my heart why would something easy be so hard to do
youve,5,you've,3422,i feel that youve got to be fearless as an artist because there have been times when i think im the only one who believes in me
alot,4,lot,794,i have been taking alot of xanax lately and mixing meds together to feel mellow enough to deal with the world
meds,4,mess,519,i forgot to take my meds this morning and i am predictably feeling irritable but less predictably i have been sitting here all day thinking ima kill a bitch if i dont get my hands on a chocolate cupcake
realise,4,realize,353,i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared
xd,4,ad,4177,i feel very carefree xd
yall,4,all,43,im still feeling indecisive im polling yall p
abc,3,arc,274,i can understand feeling uncertain about the abc link
bf,3,of,4322,i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous
cafe,3,came,5054,i admit i walked into third wave cafe feeling a little apprehensive but what appeared to be a run of the mill cafe turned out to be a restaurant with great personality and even greater food
centre,3,center,636,i feel terribly helpless sometimes but even with the limited spiritual awareness that i have i am able to find the answers as i know the end is not the outcome of my decision i ll be able to move on readjust pick up the pieces re centre myself or enjoy my decision
elses,3,else,408,i spent much of the morning feeling like an impostor or a visitor in someone elses life and uncertain what if anything i should do next
favourite,3,favorite,4938,i know a lot of people are whining that a first boot cant possibly be a favourite but you guys know how i feel about my beloved a href http winterpaysforsummer
fuckin,3,fucking,1086,i aint pissed angry mad or anything i just feel pretty much fuckin insulted
gt,3,it,1920,i am just feel so shy cause i realized those people behind me just didnt dance and look at us gt
lbs,3,labs,937,i am also now down lbs so i feel so good i still have another to go at least well thats the plan anyway
lj,3,la,1126,i havent been feeling too bouncy lately so ive been quietly keeping my head down til the phase passes hence my almost complete absence from lj
pagetitle,3,,2385,i feel the love and i thank you for it pagetitle popular news abc news u
sooo,3,soon,468,i feel like ive been sooo distracted and i need to regain my focus again
ve,3,we,670,i know like the recommendation function in modern web shops while it feels a little bit strange to see the product you ve just searched for in a web shop on a totally different site s advertising
yay,3,say,660,i feel like copying the handsome boy say yay so fun
youd,3,you,1787,i wanted other women to feel envious of my figure and say oooh youd never guess youd just had a baby
aa,2,a,2420,i think i want to go to an aa meeting just to hear the stories but it feels rude
abit,2,bit,3257,im feeling abit uncertain now
aint,2,ain't,1086,i aint pissed angry mad or anything i just feel pretty much fuckin insulted
